,City,Date,Country,Lat,Lon,Temp,Max Temp,Humidity,Wind Speed,Cloudiness
0,Barrow,1586804898,US,71.29,-156.79,23.0,23.0,92,9.17,90
1,Albany,1586804651,US,42.6,-73.97,60.39,63.0,82,21.92,90
2,Peniche,1586804898,PT,39.36,-9.38,56.28,59.0,62,4.7,40
3,Buchanan,1586804870,LR,5.88,-10.05,84.2,84.2,83,9.17,40
4,Uvira,1586804898,CD,-3.41,29.15,74.12,74.12,50,0.98,97
5,Arraial do Cabo,1586804898,BR,-22.97,-42.03,78.8,78.8,57,16.11,20
6,Chester,1586804898,US,40.13,-75.87,65.08,69.01,93,8.05,75
7,Puerto Ayora,1586804898,EC,-0.74,-90.35,84.74,86.0,66,13.87,40
8,Khabary,1586804898,RU,53.63,79.53,33.08,33.08,89,1.63,47
9,Bluff,1586804899,NZ,-46.6,168.33,46.0,46.0,76,11.01,91
10,Yellowknife,1586804701,CA,62.46,-114.35,17.29,17.6,52,10.29,20
11,Česká Lípa,1586804899,CZ,50.69,14.54,40.95,45.0,48,6.93,97
12,Hobart,1586804899,AU,-42.88,147.33,50.2,53.6,81,8.05,90
13,Provideniya,1586804899,RU,64.38,-173.3,22.96,22.96,95,2.04,91
14,Khatanga,1586804899,RU,71.97,102.5,18.91,18.91,97,3.51,100
15,Warwick,1586804614,US,41.7,-71.42,57.49,61.0,93,26.4,90
16,Hong Kong,1586804809,HK,22.29,114.16,67.48,70.0,40,3.36,92
17,Libreville,1586804658,GA,0.39,9.45,84.2,84.2,79,8.05,20
18,Ushuaia,1586804900,AR,-54.8,-68.3,50.0,50.0,71,29.97,40
19,Sirte,1586804900,LY,31.21,16.59,67.64,67.64,48,17.29,69
20,Santa Catalina,1586804900,PH,9.33,122.86,75.2,75.2,83,1.79,20
21,Ilulissat,1586804900,GL,69.22,-51.1,30.2,30.2,80,6.93,100
22,Mataura,1586804900,NZ,-46.19,168.86,46.0,46.0,76,11.01,83
23,Artsvaberd,1586804900,AM,40.83,45.47,37.67,37.67,51,2.51,32
24,Port Alfred,1586804900,ZA,-33.59,26.89,60.01,60.01,90,1.01,98
25,Dikson,1586804901,RU,73.51,80.55,-0.36,-0.36,94,3.83,8
26,Butaritari,1586804771,KI,3.07,172.79,83.07,83.07,80,16.53,91
27,Kadhan,1586804901,PK,24.48,68.99,81.07,81.07,39,12.62,33
28,Batticaloa,1586804901,LK,7.71,81.69,81.07,81.07,76,4.32,22
29,Los Llanos de Aridane,1586804901,ES,28.66,-17.92,64.24,66.2,77,1.12,75
30,Vaini,1586804770,TO,-21.2,-175.2,71.6,71.6,94,5.82,40
31,Aripuanã,1586804901,BR,-9.17,-60.63,83.3,83.3,83,2.48,52
32,Aklavik,1586804901,CA,68.22,-135.01,33.8,33.8,50,5.82,90
33,Beeville,1586804901,US,28.4,-97.75,68.25,69.8,43,10.29,1
34,Seymchan,1586804901,RU,62.88,152.43,14.25,14.25,92,2.19,88
35,Punta Arenas,1586804901,CL,-53.15,-70.92,51.39,51.8,66,31.09,75
36,Port Macquarie,1586804902,AU,-31.43,152.92,56.8,57.99,100,4.7,51
37,Narsaq,1586804902,GL,60.92,-46.05,33.6,33.6,88,15.03,95
38,New Norfolk,1586804902,AU,-42.78,147.06,49.84,53.6,81,8.05,90
39,Tuktoyaktuk,1586804902,CA,69.45,-133.04,24.8,24.8,79,9.17,90
40,San Cristobal,1586804902,VE,7.77,-72.22,93.2,93.2,46,13.87,20
41,Saint-Philippe,1586804902,RE,-21.36,55.77,68.9,75.2,78,5.82,99
42,Mar del Plata,1586804902,AR,-38.0,-57.56,59.43,60.01,87,11.41,90
43,Chumikan,1586804902,RU,54.72,135.31,29.89,29.89,90,7.31,20
44,Fortuna,1586804902,US,40.6,-124.16,60.94,66.99,71,9.17,1
45,Najrān,1586804684,SA,17.49,44.13,82.4,82.4,39,6.93,40
46,Emerald,1586804902,AU,-23.53,148.17,65.23,66.2,88,6.93,1
47,Marawi,1586804902,PH,8.0,124.29,67.19,67.19,67,2.53,40
48,Bengkulu,1586804902,ID,-3.8,102.27,78.66,78.66,79,3.78,100
49,Harper,1586804963,LR,4.38,-7.72,83.05,83.05,74,6.85,100
50,Saint Anthony,1586804963,US,45.02,-93.22,33.58,36.0,59,14.99,75
51,Maní,1586804963,CO,4.82,-72.29,95.07,95.07,33,10.67,22
52,Cabo San Lucas,1586804815,MX,22.89,-109.91,74.12,82.0,53,11.41,75
53,Hamilton,1586804710,US,39.18,-84.53,42.17,45.0,65,16.11,90
54,Xam Nua,1586804963,LA,20.42,104.04,52.3,52.3,69,2.62,33
55,Rikitea,1586804963,PF,-23.12,-134.97,76.78,76.78,72,11.74,56
56,Cap Malheureux,1586804963,MU,-19.98,57.61,77.0,78.8,74,11.41,75
57,Castro,1586804964,BR,-24.79,-50.01,76.28,76.28,34,2.53,9
58,Bonthe,1586804964,SL,7.53,-12.51,84.18,84.18,69,9.13,95
59,Bredasdorp,1586804964,ZA,-34.53,20.04,58.06,59.0,62,6.02,2
60,Itoman,1586804964,JP,26.12,127.67,61.16,62.6,48,23.04,40
61,Bethel,1586804964,US,41.37,-73.41,58.68,62.01,87,16.11,90
62,Kahului,1586804964,US,20.89,-156.47,71.37,73.4,94,4.7,40
63,Busselton,1586804964,AU,-33.65,115.33,56.07,57.99,68,5.14,80
64,Bambous Virieux,1586804964,MU,-20.34,57.76,77.45,78.8,74,11.41,75
65,Kapaa,1586804964,US,22.08,-159.32,71.33,73.4,83,8.05,90
66,Santa Engracia,1586804965,ES,41.94,-1.32,63.75,64.99,52,9.17,90
67,Mokhsogollokh,1586804965,RU,61.47,128.92,28.65,28.65,93,8.3,96
68,Bossangoa,1586804965,CF,6.49,17.46,80.83,80.83,54,2.59,44
69,Saskylakh,1586804965,RU,71.92,114.08,13.42,13.42,94,8.19,97
70,Makakilo City,1586804965,US,21.35,-158.09,76.96,78.8,69,3.36,20
71,Algiers,1586804965,DZ,36.75,3.04,64.4,64.4,82,8.05,40
72,Clyde River,1586804965,CA,70.47,-68.59,15.8,15.8,85,17.22,90
73,Nara,1586804965,JP,34.69,135.8,48.97,51.01,66,24.16,97
74,Ngunguru,1586804965,NZ,-35.62,174.5,57.0,57.0,84,5.99,20
75,Kawalu,1586804727,ID,-7.38,108.21,73.0,73.0,80,0.96,39
76,Grants,1586804965,US,35.15,-107.85,39.2,39.2,86,4.7,90
77,Potanino,1586804966,RU,55.18,61.62,37.4,37.4,55,6.71,40
78,Nizhnyaya Omka,1586804966,RU,55.43,74.94,40.03,40.03,86,7.76,21
79,Nuevo Progreso,1586804966,MX,23.17,-97.95,92.12,99.0,19,13.0,9
80,Biltine,1586804966,TD,14.53,20.92,83.21,83.21,11,9.26,91
